Modulo,Recurso,Operacion,Endpoint,Proteccion,Expresion exacta,ROL_CONTADOR,ROL_PLANEADOR,Notas,Archivo,Linea
Inventario,AjusteInventario,ANULAR,DELETE /api/inventario/ajustes/{id},SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_CONTADOR,ROL_SUPER_ADMIN,INV_AJUSTES_WRITE) + @PreAuthorize(""hasAnyAuthority('INV_AJUSTES_WRITE','ROL_CONTADOR','ROL_SUPER_ADMIN')",ALLOW,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/AjusteInventarioController.java,39
Inventario,AlertaInventario,LISTAR/VER,GET /api/inventario/alertas/stock-bajo,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_PLANEADOR,ROL_CONTADOR,ROL_SUPER_ADMIN,INV_ALERTAS_READ) + @PreAuthorize(""hasAnyAuthority('INV_ALERTAS_READ','ROL_SUPER_ADMIN','ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_PLANEADOR','ROL_CONTADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/AlertaInventarioController.java,24
Inventario,AlertaInventario,LISTAR/VER,GET /api/inventario/alertas/productos-vencidos,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_PLANEADOR,ROL_CONTADOR,ROL_SUPER_ADMIN,INV_ALERTAS_READ) + @PreAuthorize(""hasAnyAuthority('INV_ALERTAS_READ','ROL_SUPER_ADMIN','ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_PLANEADOR','ROL_CONTADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/AlertaInventarioController.java,31
Inventario,AlertaInventario,LISTAR/VER,GET /api/inventario/alertas/lotes-retenidos-prolongados,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_PLANEADOR,ROL_CONTADOR,ROL_SUPER_ADMIN,INV_ALERTAS_READ) + @PreAuthorize(""hasAnyAuthority('INV_ALERTAS_READ','ROL_SUPER_ADMIN','ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_PLANEADOR','ROL_CONTADOR')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/AlertaInventarioController.java,37
Inventario,BitacoraCambiosInventario,ANULAR,DELETE /api/inventario/bitacora/{id},SecurityConfig,"hasAnyAuthority(ROL_JEFE_CALIDAD,ROL_SUPER_ADMIN)",DENY,DENY,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/BitacoraCambiosInventarioController.java,27
Inventario,CategoriaProducto,LISTAR/VER,GET /api/categorias/{id},SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_CALIDAD,ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_CONTADOR,ROL_PLANEADOR,ROL_SUPER_ADMIN,INV_CATEGORIAS_READ) + @PreAuthorize(""hasAnyAuthority('INV_CATEGORIAS_READ','ROL_CONTADOR','ROL_JEFE_CALIDAD','ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_PLANEADOR','ROL_SUPER_ADMIN')",ALLOW,ALLOW,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/CategoriaProductoController.java,25
Inventario,CategoriaProducto,EDITAR,PUT /api/categorias/{id},SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/CategoriaProductoController.java,38
Inventario,CategoriaProducto,ANULAR,DELETE /api/categorias/{id},SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_ALMACENISTA,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/CategoriaProductoController.java,46
Inventario,ConteoCiclico,LISTAR/VER,GET /api/inventario/conteos/{id},SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_SUPER_ADMIN,INV_CONTEOS_READ) + @PreAuthorize(""hasAnyAuthority('INV_CONTEOS_READ','ROL_ALMACENISTA','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN','ROL_CONTADOR')",ALLOW,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ConteoCiclicoController.java,42
Inventario,ConteoCiclico,LISTAR/VER,GET /api/inventario/conteos/{id}/lotes,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_SUPER_ADMIN,INV_CONTEOS_READ) + @PreAuthorize(""hasAnyAuthority('INV_CONTEOS_READ','ROL_ALMACENISTA','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN','ROL_CONTADOR')",ALLOW,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ConteoCiclicoController.java,49
Inventario,ConteoCiclico,CREAR,POST /api/inventario/conteos/{id}/detalles,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN,INV_CONTEOS_WRITE) + @PreAuthorize(""hasAnyAuthority('INV_CONTEOS_WRITE','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ConteoCiclicoController.java,68
Inventario,ConteoCiclico,EDITAR,PUT /api/inventario/conteos/{id},SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN,INV_CONTEOS_WRITE) + @PreAuthorize(""hasAnyAuthority('INV_CONTEOS_WRITE','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ConteoCiclicoController.java,76
Inventario,ConteoCiclico,CAMBIAR_ESTADO,POST /api/inventario/conteos/{id}/iniciar,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN,INV_CONTEOS_WRITE) + @PreAuthorize(""hasAnyAuthority('INV_CONTEOS_WRITE','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ConteoCiclicoController.java,84
Inventario,ConteoCiclico,CREAR,POST /api/inventario/conteos/{id}/en-conteo,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN,INV_CONTEOS_WRITE) + @PreAuthorize(""hasAnyAuthority('INV_CONTEOS_WRITE','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ConteoCiclicoController.java,91
Inventario,ConteoCiclico,CREAR,POST /api/inventario/conteos/{id}/cerrar,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_JEFE_ALMACENES,ROL_SUPER_ADMIN,INV_CONTEOS_WRITE) + @PreAuthorize(""hasAnyAuthority('INV_CONTEOS_WRITE','ROL_JEFE_ALMACENES','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ConteoCiclicoController.java,98
Inventario,ConteoCiclico,CREAR,POST /api/inventario/conteos/{id}/aplicar,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_CONTADOR,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_CONTADOR','ROL_SUPER_ADMIN')",ALLOW,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/ConteoCiclicoController.java,105
Inventario,HistorialEstadoOrden,LISTAR/VER,GET /api/inventario/historial-ordenes/orden/{ordenId},SecurityConfig,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN)",ALLOW,ALLOW,cae en /api/** authenticated,src/main/java/com/willyes/clemenintegra/inventario/controller/HistorialEstadoOrdenController.java,27
Inventario,InventarioConsulta,LISTAR/VER,GET /api/inventario/disponibilidad/producto/{productoId},SecurityConfig + @PreAuthorize,"authenticated + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_PRODUCCION','ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/InventarioConsultaController.java,19
Inventario,InventarioFefo,LISTAR/VER,GET /api/inventario/fefo/preview,SecurityConfig + @PreAuthorize,"authenticated + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_ALMACENES','ROL_ALMACENISTA','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/InventarioFefoController.java,28
Inventario,InventarioTask,CREAR,POST /api/inventario/tasks/expirar-lotes,SecurityConfig + @PreAuthorize,"authenticated + @PreAuthorize(""hasAnyAuthority('ROL_SUPER_ADMIN','ROL_JEFE_CALIDAD')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/InventarioTaskController.java,20
Inventario,LoteProducto,LISTAR/VER,GET /api/lotes/por-evaluar,SecurityConfig + @PreAuthorize,"hasAnyAuthority(ROL_ALMACENISTA,ROL_JEFE_ALMACENES,ROL_CONTADOR,ROL_COMPRADOR,ROL_JEFE_CALIDAD,ROL_ANALISTA_CALIDAD,ROL_MICROBIOLOGO,ROL_JEFE_PRODUCCION,ROL_PLANEADOR,ROL_SUPER_ADMIN) + @PreAuthorize(""hasAnyAuthority('ROL_JEFE_CALIDAD','ROL_ANALISTA_CALIDAD','ROL_MICROBIOLOGO','ROL_SUPER_ADMIN')",DENY,DENY,proteccion duplicada,src/main/java/com/willyes/clemenintegra/inventario/controller/LoteProductoController.java,117
